pruid,prename,report_date,numtotal_all_administered,as_of_date,numtotal_dose1_administered,numtotal_dose2_administered,numtotal_dose3_administered,numtotal_dose4_administered,updated
24,Quebec,2021-01-19,164053,2021-01-18,,,,,1
35,Ontario,2021-01-19,262992,2021-01-18,246799,16193,0,0,1
59,British Columbia,2021-01-19,92369,2021-01-19,,,,,1
48,Alberta,2021-01-19,92315,2021-01-18,,,,,1
47,Saskatchewan,2021-01-19,24575,2021-01-18,,,,,1
12,Nova Scotia,2021-01-19,8520,2021-01-19,,,,,1
46,Manitoba,2021-01-19,17751,2021-01-18,,,,,1
13,New Brunswick,2021-01-19,6241,2021-01-09,6241,0,0,,1
10,Newfoundland and Labrador,2021-01-19,5291,2021-01-13,,,,,1
11,Prince Edward Island,2021-01-19,5910,2021-01-19,,,,,1
61,Northwest Territories,2021-01-19,1893,2021-01-18,,,,,1
62,Nunavut,2021-01-19,2545,2021-01-19,,,,,1
60,Yukon,2021-01-19,1347,2021-01-19,,,,,1
1,Canada,2021-01-19,685802,2021-01-19,253040,16193,0,0,1
24,Quebec,2021-01-20,174260,2021-01-19,,,,,0
35,Ontario,2021-01-20,273227,2021-01-19,253108,20119,0,0,1
59,British Columbia,2021-01-20,98125,2021-01-20,,,,,1
48,Alberta,2021-01-20,95243,2021-01-19,,,,,0
47,Saskatchewan,2021-01-20,27233,2021-01-19,,,,,1
12,Nova Scotia,2021-01-20,9175,2021-01-20,,,,,1
46,Manitoba,2021-01-20,22365,2021-01-20,,,,,1
13,New Brunswick,2021-01-20,6241,2021-01-09,6241,0,0,,1
10,Newfoundland and Labrador,2021-01-20,8549,2021-01-19,,,,,1
11,Prince Edward Island,2021-01-20,5910,2021-01-19,,,,,0
61,Northwest Territories,2021-01-20,1893,2021-01-18,,,,,1
62,Nunavut,2021-01-20,2545,2021-01-19,,,,,0
60,Yukon,2021-01-20,2590,2021-01-20,,,,,1
1,Canada,2021-01-20,727356,2021-01-20,259349,20119,0,0,1
24,Quebec,2021-01-21,186210,2021-01-20,,,,,0
35,Ontario,2021-01-21,281373,2021-01-20,256720,24653,0,0,1
59,British Columbia,2021-01-21,104901,2021-01-21,,,,,1
48,Alberta,2021-01-21,96506,2021-01-20,,,,,0
47,Saskatchewan,2021-01-21,29781,2021-01-20,,,,,0
12,Nova Scotia,2021-01-21,9827,2021-01-21,,,,,1
46,Manitoba,2021-01-21,23884,2021-01-21,,,,,1
13,New Brunswick,2021-01-21,10483,2021-01-16,7918,2565,0,,1
10,Newfoundland and Labrador,2021-01-21,8549,2021-01-19,,,,,1
